"ID"	"Hashtag"	"IsLoc"	"FuzzyWuzzy"	"EditDist"	"Location"	"Lat"	"Long"	"ED0"	"ED1"	"ED2"
18137	"werkomstandigheden"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1765610	"foetsie"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
664336	"mirt"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1810112	"kerst"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1135707	"kippen"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
67960	"milu"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1655093	"gekkermoethetnietworden"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
271918	"u"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
175988	"meetoo"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
2000890	"winkelhof"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
2209120	"vogelteldag"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1114935	"participatiedag"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
2034029	"temptationisland"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1147108	"work"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
151154	"pon"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
2410383	"hoekhuis"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
2014052	"seeyounextyear"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
2319510	"kerstfeest"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1870392	"vacature"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
578807	"beaujean"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
617794	"heemskerk"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1121688	"wij cultuur"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
2169490	"owp"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
2081769	"zaanstad"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
697587	"gladheid"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
2395302	"bantega"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
780307	"schandalig"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
892592	"crowdfunding"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1657697	"rotary"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
226727	"runtastic"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1879415	"goedemorgen"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1162404	"politie"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
21851	"dewarmsteweek"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1122174	"wijfilm"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
348136	"omroepwilly"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
169365	"dementie"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1496138	"elektriciteit"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
2195376	"facilitair"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1528368	"pizzabiketour"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
488516	"earth hour"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1004154	"stadshagen"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
364578	"belalg"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1415644	"cross"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
